artist,chart_position,country,production_house,title,week,weeks_on_chart
MARK RONSON FT CAMILA CABELLO,41,UK,COLUMBIA,FIND U AGAIN,23,1
JONAS BROTHERS,42,UK,HOLLYWOOD,SUCKER,23,14
AJ TRACEY,43,UK,AJ TRACEY,LADBROKE GROVE,23,14
J HUS FT GRM DAILY,45,UK,BLACK BUTTER,DAILY DUPPY,16,1
D-BLOCK EUROPE,46,UK,D-BLOCK EUROPE,KITCHEN KINGS,16,10
DAVE,54,UK,DAVE NEIGHBOURHOOD,STREATHAM,17,7
BLACKPINK,55,UK,POLYDOR,KILL THIS LOVE,17,3
BEBE REXHA,56,UK,PARLOPHONE,LAST HURRAH,17,9
MARK RONSON FT MILEY CYRUS,57,UK,COLUMBIA,NOTHING BREAKS LIKE A HEART,17,21
MAROON 5 FT CARDI B,94,UK,INTERSCOPE,GIRLS LIKE YOU,13,42
FREYA RIDINGS,95,UK,GOOD SOLDIER,YOU MEAN THE WORLD TO ME,13,4
POST MALONE,96,UK,REPUBLIC RECORDS,BETTER NOW,13,43
TYGA FT OFFSET,97,UK,LAST KINGS MUSIC,TASTE,13,43
BILLIE EILISH,6,UK,INTERSCOPE,BAD GUY,21,8
MEDUZA FT GOODBOYS,7,UK,POLYDOR,PIECE OF YOUR HEART,21,10
AVICII FT ALOE BLACC,8,UK,Positiva,SOS,21,6
STORMZY,2,UK,MERKY,VOSSI BOP,25,8
BILLIE EILISH,3,UK,INTERSCOPE,BAD GUY,25,12
LEWIS CAPALDI,4,UK,EMI,HOLD ME WHILE YOU WAIT,25,7
TAYLOR SWIFT,5,UK,EMI,YOU NEED TO CALM DOWN,25,1
KHALID,20,UK,RIGHT HAND MUSIC,TALK,19,13
PINK,21,UK,RCA,WALK ME HOME,19,11
LIL DICKY,31,UK,CMSN,EARTH,20,4
JAY1,32,UK,GRM,YOUR MRS,20,7
DIGGA D,33,UK,CGM,NO DIET,20,4
JAMES ARTHUR,34,UK,COLUMBIA,FALLING LIKE THE STARS,20,1
YOUNG THUG/J COLE/TRAVIS SCOTT,18,UK,ATLANTIC,THE LONDON,22,1
JONAS BLUE FT THERESA REX,19,UK,POSITIVA,WHAT I LIKE ABOUT YOU,22,10
JONAS BROTHERS,20,UK,HOLLYWOOD,SUCKER,22,13
ELLIE GOULDING,21,UK,POLYDOR,SIXTEEN,22,7
KHALID,22,UK,RIGHT HAND MUSIC,TALK,22,16
HARDY CAPRIO & DIGDAT,23,UK,VIRGIN,GUTEN TAG,22,4
JONAS BLUE FT THERESA REX,22,UK,POSITIVA,WHAT I LIKE ABOUT YOU,18,6
JAY1,23,UK,GRM,YOUR MRS,18,5
CALVIN HARRIS & RAG'N'BONE MAN,24,UK,COLUMBIA,GIANT,18,16
SIGRID,25,UK,ISLAND,DON'T FEEL LIKE CRYING,18,12
CARDI B,44,UK,ATLANTIC,PRESS,23,1
TOM WALKER,45,UK,RELENTLESS,JUST YOU AND I,23,21
DA BEATFREAKZ/SWARMZ/DENO,46,UK,COLUMBIA,MOTOROLA,23,4
DAVID GUETTA FT RAYE,47,UK,PARLOPHONE,STAY (DON'T GO AWAY),23,4
DIGGA D,48,UK,CGM,NO DIET,23,7
MABEL,49,UK,POLYDOR,DON'T CALL ME UP,23,20
AVA MAX,50,UK,ATLANTIC,SWEET BUT PSYCHO,23,33
WILEY/STEFFLON DON/SEAN PAUL,51,UK,BMG,BOASTY,23,16
DAVE,47,UK,DAVE NEIGHBOURHOOD,STREATHAM,16,6
MARSHMELLO FT BASTILLE,58,UK,POSITIVA,HAPPIER,17,36
BENNY BLANCO/HALSEY/KHALID,59,UK,INTERSCOPE,EASTSIDE,17,41
TOM WALKER,60,UK,RELENTLESS,LEAVE A LIGHT ON,17,56
CALVIN HARRIS & SAM SMITH,61,UK,COLUMBIA,PROMISES,17,36
ANNE-MARIE,98,UK,EAST WEST,2002,13,45
RODDY RICCH,99,UK,ATLANTIC,DIE YOUNG,13,2
DEAN LEWIS,100,UK,ISLAND,STAY AWAKE,13,1
LEWIS CAPALDI,9,UK,EMI,GRACE,21,28
JAX JONES/MARTIN SOLVEIG/BEER,10,UK,POLYDOR,ALL DAY AND NIGHT,21,8
DAVE FT BURNA BOY,11,UK,DAVE NEIGHBOURHOOD,LOCATION,21,11
CHRIS BROWN FT DRAKE,6,UK,CHRIS BROWN ENTERTAINMENT/RCA,NO GUIDANCE,25,2
LIL NAS X,7,UK,LIL NAS X,OLD TOWN ROAD,25,13
ED SHEERAN/CHANCE/PNB ROCK,8,UK,ASYLUM,CROSS ME,25,4
AVICII FT ALOE BLACC,9,UK,Positiva,SOS,25,10
JONAS BLUE FT THERESA REX,22,UK,POSITIVA,WHAT I LIKE ABOUT YOU,19,7
STEEL BANGLEZ/TRACEY/MOSTACK,23,UK,GIFTED MUSIC/WARNER BROS,FASHION WEEK,19,7
LIL DICKY,24,UK,CMSN,EARTH,19,3
LEWIS CAPALDI,25,UK,EMI,GRACE,19,26
DA BEATFREAKZ/SWARMZ/DENO,35,UK,COLUMBIA,MOTOROLA,20,1
MABEL,36,UK,POLYDOR,DON'T CALL ME UP,20,17
LAUV & TROYE SIVAN,37,UK,LAUV,I'M SO TIRED,20,16
TYLER THE CREATOR,24,UK,COLUMBIA,EARFQUAKE,22,2
AVA MAX,25,UK,ATLANTIC,SO AM I,22,12
KYGO & RITA ORA,26,UK,COLUMBIA,CARRY ON,22,6
CALVIN HARRIS & RAG'N'BONE MAN,27,UK,COLUMBIA,GIANT,22,20
STEEL BANGLEZ/TRACEY/MOSTACK,28,UK,GIFTED MUSIC/WARNER BROS,FASHION WEEK,22,10
LAUV & TROYE SIVAN,26,UK,LAUV,I'M SO TIRED,18,14
MABEL,27,UK,POLYDOR,DON'T CALL ME UP,18,15
LEWIS CAPALDI,28,UK,EMI,GRACE,18,25
GEORGE EZRA,52,UK,COLUMBIA,SHOTGUN,23,63
LIZZO,53,UK,ATLANTIC,TRUTH HURTS,23,6
LIL DICKY,54,UK,CMSN,EARTH,23,7
BTS & HALSEY,55,UK,ASTRALWERKS/BIGHIT ENT,BOY WITH LUV,23,8
BLACKPINK,48,UK,POLYDOR,KILL THIS LOVE,16,2
GEKO/FRENCH MONTANA/AY EM,49,UK,3 BEAT,NEW MONEY,16,1
ELLIE GOULDING,50,UK,POLYDOR,SIXTEEN,16,1
PANIC AT THE DISCO,51,UK,FUELED BY RAMEN,HIGH HOPES,16,40
GEKO/FRENCH MONTANA/AY EM,62,UK,3 BEAT,NEW MONEY,17,2
JESS GLYNNE,63,UK,ATLANTIC,THURSDAY,17,28
OFFSET FT CARDI B,64,UK,MOTOWN/QUALITY CONTROL,CLOUT,17,1
CALVIN HARRIS & DUA LIPA,65,UK,COLUMBIA/WARNER BROS,ONE KISS,17,50
DADDY YANKEE/KATY PERRY/SNOW,66,UK,VIRGIN,CON CALMA,17,4
TAYLOR SWIFT FT BRENDON URIE,12,UK,EMI,ME,21,4
SHAWN MENDES,13,UK,EMI,IF I CAN'T HAVE YOU,21,3
RUSS & TION WAYNE,14,UK,VIRGIN,KEISHA & BECKY,21,9
LITTLE MIX,10,UK,RCA,BOUNCE BACK,25,1
LEWIS CAPALDI,11,UK,EMI,SOMEONE YOU LOVED,25,25
KATY PERRY,12,UK,VIRGIN,NEVER REALLY OVER,25,3
