artist,chart_position,count,country,production_house,title
                                                ",21,,,,"

                                                            Shkumbin Ismaili
                                                        "

"


                                                        ,

                                                    ,

                                                            Vlatko Lozanoski
                                                        ,

                                                    Zena Kako Ti
                                                ",22,,,,"

                                                            Vlatko Lozanoski
                                                        "

"


                                                        ,

                                                    ,

                                                            Menil Velioski
                                                        ,

                                                    Tron
                                                ",23,,,,"

                                                            Menil Velioski
                                                        "

"


                                                        ,

                                                    ,

                                                            Nusret Kurtishi
                                                        ,

                                                    Me Emrin Tend
                                                ",24,,,,"

                                                            Nusret Kurtishi
                                                        "

"


                                                        ,

                                                    ,

                                                            Vlatko Lozanoski
                                                        ,

                                                    Kamo Tebe Da Te Imam
                                                ",25,,,,"

                                                            Vlatko Lozanoski
                                                        "

"


                                                        ,

                                                    ,

                                                            Adem Ramadani
                                                        ,

                                                    Zogu I Xhenetit
                                                ",26,,,,"

                                                            Adem Ramadani
                                                        "

"


                                                        ,

                                                    ,

                                                            Nusret Kurtishi
                                                        ,

                                                    Namazi
                                                ",27,,,,"

                                                            Nusret Kurtishi
                                                        "

"


                                                        ,

                                                    ,

                                                            Nusret Kurtishi
                                                        ,

                                                    Ja Resulallah
                                                ",28,,,,"

                                                            Nusret Kurtishi
                                                        "

"


                                                        ,

                                                    ,

                                                            Vlatko Lozanoski
                                                        ,

                                                    Bonbona
                                                ",29,,,,"

                                                            Vlatko Lozanoski
                                                        "

"


                                                        ,

                                                    ,

                                                            Adem Ramadani
                                                        ,

                                                    Dasma E Madhe
                                                ",30,,,,"

                                                            Adem Ramadani
                                                        "

"


                                                        ,

                                                    ,

                                                            Menil Velioski
                                                        ,

                                                    Ja Sam Je Samo Voleo
                                                ",31,,,,"

                                                            Menil Velioski
                                                        "

"


                                                        ,

                                                    ,

                                                            Karolina Gočeva
                                                        ,

                                                    Beli Cvetovi
                                                ",32,,,,"

                                                            Karolina Gočeva
                                                        "

"


                                                        ,

                                                    ,

                                                            Karolina Gočeva
                                                        ,

                                                    Zvona/ѕvona
                                                ",33,,,,"

                                                            Karolina Gočeva
                                                        "

"


                                                        ,

                                                    ,

                                                            Slatkaristika
                                                        ,

                                                    Kaji Da
                                                ",34,,,,"

                                                            Slatkaristika
                                                        "

"


                                                        ,

                                                    ,

                                                            Menil Velioski
                                                        ,

                                                    Tvoje Ime Moje Prezime
                                                ",35,,,,"

                                                            Menil Velioski
                                                        "

"


                                                        ,

                                                    ,

                                                            Slatkaristika
                                                        ,

                                                            2Bona
                                                        ,

                                                    Bi Napravil Se
                                                ",36,,,,"

                                                            Slatkaristika
                                                        ,

                                                            2Bona
                                                        "

"


                                                        ,

                                                    ,

                                                            S4Mm
                                                        ,

                                                    Mad Ting
                                                ",37,,,,"

                                                            S4Mm
                                                        "

"


                                                        ,

                                                    ,

                                                            Tijana Dapcevic
                                                        ,

                                                    Kilometri
                                                ",38,,,,"

                                                            Tijana Dapcevic
                                                        "

"


                                                        ,

                                                    ,

                                                            Nusret Kurtishi
                                                        ,

                                                    Malli Per Nenen
                                                ",39,,,,"

                                                            Nusret Kurtishi
                                                        "

"


                                                        ,

                                                    ,

                                                            Nusret Kurtishi
                                                        ,

                                                    Lot Per Qaben
                                                ",40,,,,"

                                                            Nusret Kurtishi
                                                        "

